465	Lännen Media : Sotilaspuvun julkista käyttöä kehotettu välttämään - todellinen uhka Puolustusvoimat sai uudet ohjeet viikko sitten , eli 20. maaliskuuta .	neu,neg
466	ref=ts ja äänestyssitoumus tuolta : www.ydinvoima.fi viihdykkeet , hyvä meno : http://www.youtube.com/watch?v=wJKmKXxHii4 Kummeli-ympäristöruutu http://www.youtube.com/watch?v=neIX88pePGM Jyrkin valistusvideo	neu,pos
467	Scorpions : http://www.youtube.com/watch?v=_WtkuSZoBKk&amp;feature =f vst Dudolf Schenker , kitaristi ja yhtyeen perustaja .	neu,neu
468	Muuten kreikan tie kutsuu .	neg,neu
469	Mutta kuka tykkää mistäkin vauhdista .	neu,neu
470	Kannatan ehdottomasti tätä järjestelyä .	pos,pos
471	Miten puolueeton on sellainen , joka ei vasemmistoa hyväksy ?	neg,neu,neu
472	Asia ei ole tietenkään ihan yksinkertainen .	neu,neu
473	This message has been removed by .	neu,neu
474	Rikkaille uhoaijille tiedoksi , joissain yksityisissä hoitoloissa on vielä huonompi kohtelu .	neg,neg
475	Herätys on tulossa suomen kansalle .	pos,neu
476	valitettavasti puoluepoliittiset keskustelut eivät kuulu tänne , niitä varten on tuolla yhteiskuntaosiossa omat kanavansa .	neu,neu
477	Vallankin kun Kreikalle ja muille asiansa huonosti hoitaneille maille syydetään rahaa kaksin käsin .	neg,neg
478	Sitten näille annetaan verohelpotuksia ja seuraavaksi nämä kusettajat siirtävät bisneksensä ulkomaille .	neg,neg
479	Toisaalta tietysti hyväkin asia , jos vaikka Katainen saisi myös samaa tuhoa Brysselin virassaan , kuin mitä sai aikaan armaassa kotimaassaan .	neg,pos
480	Nettiä kun osaa käyttää , niin löytää parhaat matkustustavat ja reitit .	pos,pos
481	Ihan hyvä että paljastuu vähitellen puhto poikakin tavalliseksi pulliaiseksi :) Mistä tuli ne Ravin äänet sitähän me emme tiedä kun ei sitä tiedä KOKOOMUSKAAN ?	neg,pos
482	Myynti ja voitot nousee edelleen tänä vuonna 2013 , jota auttaa uudlstavat mallit ja tekniikka http://www.kauppalehti.fi/auto/uutiset/japanin+automarkkinat+virkosivat+huhtikuussa/201305427303	pos,pos
483	Mistä tunnet sä kepulaisen ?	neu,neg
484	Jälkimmäiseen en voi vaikuttaa kuin ehkä hyttysen pissan verran ja vain aivan pienin osin tuohon valintaan , mitä ostaa , jos yleensä ostaa , kun kuitenkin joutuu ostamaan , jos joutuu .	neg,neu
485	Noin pienen paikkakunnan hylkääminen on vastoin veteraanien ja minun ja tottakai muidenkin mielipidettä vastaan .	neu,neg
486	Ja näissä tapauksissa varmaan useammin törmää tilanteeseen ettei myyjä olekaan alihinnoittelun pelossa tai muusta syystä kovin innokas myymään venettään , varsinkin jos innokas ostaja ottaa pian ilmoituksen julkaisun jälkeen yhteyttä ostajaan .	neu,neu
487	Kansakunnan - sotiemme taistelijoiden , veteraanien , lottien ja kotirintaman - panos suomalaisen kulttuurin ja elämänmuodon sekä eurooppalaisten arvojen ja Euroopan rauhanvakauden turvaamisessa on ollut ainutlaatuinen .	pos,pos
488	Kirjallisuusvinkit onvat vain vinoutunutta käsitelmää ja kerrontaa siitä mitä elämä on .	neg,neg
489	Nykyinen tv- lupa on kai 252 euroa , joten selvä nousuhan se on , mutta kuitenkin siedettävä .	neg,neu
490	Esim teinin vaatteet varmasti käyvät kaupaksi .	pos,neu
491	Meillä on siis pakollinen kieli , joka aiheuttaa lähes kaikille vain kokemuksen heikosta osaamisesta .	neg,neg
492	älä nyt joka paikkaan tota roskaa ....	neg,neg
493	Esittelyssä oli kulta unohtunut kokonaan vaan värvättiin ostajia aivan muuhun kuin kultaan sijoittamiseen .	neu,neu
494	Ja rakkauden pitäisi olla numero 1. Mikä elämässä voisi olla tärkeämpää kuin rakkaus ?	pos,pos
495	rakkaus tulee vasta vuosien kuluttua jos on tullakseen .	neu,neu
496	En olisi kyllä aikaisemmin uskonut , että Suomestakin voi maailmalle lähteä tuollaisia heppuja , jotka kaatavat rahaa pohjattomaan kaivoon ja kaiken lisäksi kaikki pitäisi antaa anteeksi .	neg,neg
497	Linux tuhoaa tässä Windowsin mahdollisuudet ja polkee Appleakin suohon .	neg,pos
498	( Minun ainakin on vieläkin hyvin vaikea uskoa , että vanhempani ovat joskus harrastaneet seksiä , vaikka olen itse todisteena siitä ;) .	neu,pos
499	Väyrynen olisi ollut pahempi vastus 2.kierrokselle , kuin Haavisto .	neu,neu
500	Kulttuurinautintoja saan ihan mistä vaan .	pos,pos
501	Tupakki maksaa suurimman osan tuotteen hinnasta mikä on epäolennaista nikotiin saamisessa .	neg,neu
502	enkä ole yhtään mustasukkainen .	pos,neg
503	Osaisitteko kertoa mitään seuraavista asioista jotka liittyvät slovenian kulttuuriin : *perhe ja sen merkitys kyseisessä maassa ja kulttuurissa *maan ruoka-ja juomakulttuuri pääpiirteittäin *käyttäytymiseen liittyvät tavat *uskonnon vaikutus maan tapoihin *työntekoon ja siihen liittyvät tavat ( esim .	neu,neu
504	Sen jälkeen kylläkin .	neu,neu
